iter	Passed	Remaining
838	4720	12157
839	4726	12154
840	4734	12153
841	4741	12151
842	4748	12150
843	4756	12150
844	4763	12149
845	4771	12148
846	4776	12142
847	4781	12133
848	4785	12124
849	4789	12115
850	4794	12108
851	4799	12099
852	4807	12100
853	4814	12098
854	4821	12096
855	4828	12094
856	4838	12099
857	4846	12098
858	4853	12096
859	4860	12094
860	4868	12094
861	4875	12091
862	4881	12088
863	4888	12085
864	4895	12082
865	4901	12079
866	4909	12077
867	4916	12076
868	4923	12073
869	4929	12069
870	4937	12068
871	4944	12065
872	4950	12062
873	4957	12058
874	4962	12051
875	4966	12042
876	4971	12033
877	4975	12024
878	4981	12019
879	4985	12011
880	4991	12006
881	4998	12003
882	5005	12000
883	5013	12000
884	5020	11997
885	5027	11996
886	5049	12029
887	5088	12101
888	5093	12095
889	5104	12102
890	5120	12120
891	5129	12122
892	5136	12119
893	5142	12114
894	5146	12105
895	5152	12098
896	5157	12092
897	5162	12083
898	5166	12074
899	5170	12065
900	5175	12056
901	5179	12046
902	5184	12038
903	5188	12029
904	5192	12020
905	5196	12011
906	5201	12002
907	5205	11993
908	5209	11984
909	5214	11976
910	5218	11967
911	5224	11960
912	5228	11951
913	5232	11942
914	5237	11933
915	5241	11924
916	5245	11915
917	5249	11906
918	5254	11898
919	5261	11895
920	5268	11892
921	5275	11889
922	5282	11887
923	5291	11888
924	5298	11886
925	5305	11883
926	5311	11876
927	5317	11873
928	5322	11866
929	5327	11857
930	5331	11848
931	5336	11840
932	5340	11831
933	5344	11822
934	5348	11813
935	5353	11804
936	5357	11795
937	5361	11786
938	5366	11779
939	5372	11774
940	5377	11766
941	5381	11757
942	5386	11749
943	5391	11741
944	5395	11732
945	5400	11724
946	5404	11716
947	5409	11708
948	5413	11700
949	5418	11691
950	5422	11683
951	5426	11674
952	5433	11671
953	5440	11668
954	5448	11666
955	5455	11664
956	5463	11662
957	5470	11659
958	5474	11651
959	5480	11645
960	5485	11638
961	5489	11629
962	5496	11625
963	5503	11623
964	5510	11620
965	5531	11647
966	5540	11647
967	5545	11639
968	5550	11634
969	5560	11637
970	5568	11636
971	5578	11638
972	5587	11640
973	5596	11640
974	5605	11641
975	5609	11633
976	5614	11625
977	5619	11617
978	5623	11609
979	5628	11600
980	5632	11592
